timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
"2025-01-03","2025-01-03T23:59:59.999Z","2025-01-03T16:37:00.000Z","2025-01-03T01:44:00.000Z","2781",0.0838325526,0.0951103975,0.0824579582,0.089484082,46801060.33,832417788.23,"2025-01-03T23:59:59.999Z"
"2025-01-02","2025-01-02T23:59:59.999Z","2025-01-02T22:40:00.000Z","2025-01-02T03:22:00.000Z","2781",0.0756686655,0.0872459503,0.0744136474,0.0838325526,39203521.92,779844934.16,"2025-01-02T23:59:59.999Z"
"2025-01-01","2025-01-01T23:59:59.999Z","2025-01-01T23:59:00.000Z","2025-01-01T19:01:00.000Z","2781",0.069812388,0.0757471107,0.0685995338,0.0756666941,21805557.38,703901093.95,"2025-01-01T23:59:59.999Z"
"2024-12-31","2024-12-31T23:59:59.999Z","2024-12-31T17:01:00.000Z","2024-12-31T01:32:00.000Z","2781",0.0654869381,0.0724549385,0.0651247506,0.069810513,17011248.2,649423587.64,"2024-12-31T23:59:59.999Z"
"2024-12-30","2024-12-30T23:59:59.999Z","2024-12-30T01:40:00.000Z","2024-12-30T16:52:00.000Z","2781",0.0712542045,0.0731307695,0.0641634274,0.0654869381,16887165.56,609186471.59,"2024-12-30T23:59:59.999Z"
"2024-12-29","2024-12-29T23:59:59.999Z","2024-12-29T04:34:00.000Z","2024-12-29T17:40:00.000Z","2781",0.071017937,0.0756060371,0.0638989554,0.0712542045,31463617.44,662835959.29,"2024-12-29T23:59:59.999Z"
"2024-12-28","2024-12-28T23:59:59.999Z","2024-12-28T23:59:00.000Z","2024-12-28T08:36:00.000Z","2781",0.0613100736,0.071036049,0.0594507064,0.0710243105,20452510.89,660638101.02,"2024-12-28T23:59:59.999Z"
"2024-12-27","2024-12-27T23:59:59.999Z","2024-12-27T07:16:00.000Z","2024-12-27T15:49:00.000Z","2781",0.0566750833,0.0623965549,0.0552787154,0.0613110736,17391813.92,570331557.8,"2024-12-27T23:59:59.999Z"
"2024-12-26","2024-12-26T23:59:59.999Z","2024-12-26T00:22:00.000Z","2024-12-26T16:01:00.000Z","2781",0.0612321649,0.062080815,0.0523177931,0.0566751951,12914978.06,527214969.09,"2024-12-26T23:59:59.999Z"
"2024-12-25","2024-12-25T23:59:59.999Z","2024-12-25T01:16:00.000Z","2024-12-25T06:07:00.000Z","2781",0.0610428256,0.0619346559,0.0590836023,0.0612202899,9937654.9,569606818.41,"2024-12-25T23:59:59.999Z"
"2024-12-24","2024-12-24T23:59:59.999Z","2024-12-24T13:41:00.000Z","2024-12-24T02:33:00.000Z","2781",0.053176366,0.0630755938,0.05268861,0.0610428256,24500604.33,567845506.28,"2024-12-24T23:59:59.999Z"
"2024-12-23","2024-12-23T23:59:59.999Z","2024-12-23T23:13:00.000Z","2024-12-23T01:24:00.000Z","2781",0.0466424174,0.0543124674,0.0462391706,0.0531756857,16900689.88,494668459.39,"2024-12-23T23:59:59.999Z"
"2024-12-22","2024-12-22T23:59:59.999Z","2024-12-22T12:42:00.000Z","2024-12-22T23:49:00.000Z","2781",0.0486184098,0.0515851846,0.0466221092,0.0466417924,12218937.03,433881164.12,"2024-12-22T23:59:59.999Z"
"2024-12-21","2024-12-21T23:59:59.999Z","2024-12-21T01:11:00.000Z","2024-12-21T22:16:00.000Z","2781",0.0521664694,0.055636383,0.045759786,0.0486117669,22844517.19,452206678.65,"2024-12-21T23:59:59.999Z"
"2024-12-20","2024-12-20T23:59:59.999Z","2024-12-20T23:43:00.000Z","2024-12-20T12:02:00.000Z","2781",0.0456026278,0.0522080131,0.0373298551,0.0521664694,30806320.05,485273984.67,"2024-12-20T23:59:59.999Z"
"2024-12-19","2024-12-19T23:59:59.999Z","2024-12-19T07:41:00.000Z","2024-12-19T20:17:00.000Z","2781",0.0521936339,0.054418368,0.0426900403,0.0456026278,27316017.95,424214426.98,"2024-12-19T23:59:59.999Z"
"2024-12-18","2024-12-18T23:59:59.999Z","2024-12-18T00:19:00.000Z","2024-12-18T20:13:00.000Z","2781",0.0615555844,0.0628114175,0.0512132312,0.0522160011,20451165.49,485526680.22,"2024-12-18T23:59:59.999Z"
"2024-12-17","2024-12-17T23:59:59.999Z","2024-12-17T04:17:00.000Z","2024-12-17T23:16:00.000Z","2781",0.0644571949,0.0648175249,0.0608978401,0.0615564774,17246179.64,572623707.18,"2024-12-17T23:59:59.999Z"
"2024-12-16","2024-12-16T23:59:59.999Z","2024-12-16T05:45:00.000Z","2024-12-16T23:32:00.000Z","2781",0.0702329524,0.0729745312,0.0644073138,0.0644571949,18292197.51,599607375.74,"2024-12-16T23:59:59.999Z"
"2024-12-15","2024-12-15T23:59:59.999Z","2024-12-15T17:01:00.000Z","2024-12-15T08:06:00.000Z","2781",0.0653443265,0.0699064841,0.0604343547,0.0682835956,17060110.05,635207299.88,"2024-12-15T23:59:59.999Z"
"2024-12-14","2024-12-14T23:59:59.999Z","2024-12-14T00:16:00.000Z","2024-12-14T21:07:00.000Z","2781",0.0708428982,0.0719537792,0.0614179826,0.0647127995,17466403.34,601985115.64,"2024-12-14T23:59:59.999Z"
"2024-12-13","2024-12-13T23:59:59.999Z","2024-12-13T03:48:00.000Z","2024-12-13T18:26:00.000Z","2781",0.068747558,0.0801558084,0.067248285,0.0683590655,42480366.1,635904183.6,"2024-12-13T23:59:59.999Z"
"2024-12-12","2024-12-12T23:59:59.999Z","2024-12-12T13:33:00.000Z","2024-12-12T20:00:00.000Z","2781",0.0682038294,0.0748096449,0.0636858698,0.0687299624,29891694.14,639354419.53,"2024-12-12T23:59:59.999Z"
"2024-12-11","2024-12-11T23:59:59.999Z","2024-12-11T17:33:00.000Z","2024-12-11T02:04:00.000Z","2781",0.0658307244,0.0773767649,0.0602209623,0.0682081613,36922214.32,634460113.09,"2024-12-11T23:59:59.999Z"
"2024-12-10","2024-12-10T23:59:59.999Z","2024-12-10T20:52:00.000Z","2024-12-10T16:51:00.000Z","2781",0.054268027,0.0681061881,0.0485685694,0.0658307244,26944210.11,612384513.18,"2024-12-10T23:59:59.999Z"
