timeOpen,timeClose,timeHigh,timeLow,name,open,high,low,close,volume,marketCap,timestamp
"2025-01-08","2025-01-08T23:59:59.999Z","2025-01-08T00:22:00.000Z","2025-01-08T17:31:00.000Z","2781",0.1647206101,0.1678095525,0.1316855484,0.1401685126,46876008.25,140162854.32,"2025-01-08T23:59:59.999Z"
"2025-01-07","2025-01-07T23:59:59.999Z","2025-01-07T00:37:00.000Z","2025-01-07T22:04:00.000Z","2781",0.1979763385,0.1989612268,0.1642801927,0.1647206101,37594003.86,164713964.47,"2025-01-07T23:59:59.999Z"
"2025-01-06","2025-01-06T23:59:59.999Z","2025-01-06T00:01:00.000Z","2025-01-06T22:24:00.000Z","2781",0.2167027798,0.216743976,0.1949750589,0.1979766239,34093520.86,197968636.87,"2025-01-06T23:59:59.999Z"
"2025-01-05","2025-01-05T23:59:59.999Z","2025-01-05T00:19:00.000Z","2025-01-05T18:10:00.000Z","2781",0.2543315075,0.2618367296,0.2082272748,0.216698859,49378877,216690120.92,"2025-01-05T23:59:59.999Z"
"2025-01-04","2025-01-04T23:59:59.999Z","2025-01-04T13:13:00.000Z","2025-01-04T05:56:00.000Z","2781",0.2276730885,0.2577111996,0.2253009843,0.2543315075,103200304.39,254321259.73,"2025-01-04T23:59:59.999Z"
"2025-01-03","2025-01-03T23:59:59.999Z","2025-01-03T22:37:00.000Z","2025-01-03T08:36:00.000Z","2781",0.1699056393,0.2352654737,0.1629932743,0.2276730885,80188799.35,227663915.41,"2025-01-03T23:59:59.999Z"
"2025-01-02","2025-01-02T23:59:59.999Z","2025-01-02T16:46:00.000Z","2025-01-02T10:19:00.000Z","2781",0.1665582003,0.1875083561,0.1620817268,0.1699056393,48917012.18,169898800.49,"2025-01-02T23:59:59.999Z"
"2025-01-01","2025-01-01T23:59:59.999Z","2025-01-01T16:12:00.000Z","2025-01-01T09:43:00.000Z","2781",0.1580773376,0.1751109118,0.1507937303,0.1665579751,31945408.02,166551500.03,"2025-01-01T23:59:59.999Z"
"2024-12-31","2024-12-31T23:59:59.999Z","2024-12-31T13:52:00.000Z","2024-12-31T05:23:00.000Z","2781",0.1591414629,0.1669041684,0.1524011426,0.1580773376,32181162.54,158070986.74,"2024-12-31T23:59:59.999Z"
"2024-12-30","2024-12-30T23:59:59.999Z","2024-12-30T17:55:00.000Z","2024-12-30T00:05:00.000Z","2781",0.1504295891,0.1736664224,0.1503259245,0.1591414629,38286414.18,159135070.96,"2024-12-30T23:59:59.999Z"
"2024-12-29","2024-12-29T23:59:59.999Z","2024-12-29T10:16:00.000Z","2024-12-29T22:15:00.000Z","2781",0.1715740749,0.1719140047,0.1490800188,0.1504295891,26473436.51,150424242.7,"2024-12-29T23:59:59.999Z"
"2024-12-28","2024-12-28T23:59:59.999Z","2024-12-28T22:55:00.000Z","2024-12-28T07:54:00.000Z","2781",0.1653581459,0.1737633438,0.1575699628,0.1715740749,27100396.14,171567979.58,"2024-12-28T23:59:59.999Z"
"2024-12-27","2024-12-27T23:59:59.999Z","2024-12-27T10:08:00.000Z","2024-12-27T23:35:00.000Z","2781",0.1661000646,0.186048837,0.163404804,0.1653581459,37630791.82,165352272.75,"2024-12-27T23:59:59.999Z"
"2024-12-26","2024-12-26T23:59:59.999Z","2024-12-26T00:19:00.000Z","2024-12-26T23:10:00.000Z","2781",0.1785821757,0.184703638,0.1640921899,0.1661003918,38076488.03,166094493.3,"2024-12-26T23:59:59.999Z"
"2024-12-25","2024-12-25T23:59:59.999Z","2024-12-25T06:26:00.000Z","2024-12-25T22:16:00.000Z","2781",0.1893176064,0.2185530122,0.1746108727,0.1785821757,69996781.42,178575838.77,"2024-12-25T23:59:59.999Z"
"2024-12-24","2024-12-24T23:59:59.999Z","2024-12-24T00:07:00.000Z","2024-12-24T20:15:00.000Z","2781",0.2000869151,0.2014222193,0.1775112277,0.1893176064,39758441.84,189310903.51,"2024-12-24T23:59:59.999Z"
"2024-12-23","2024-12-23T23:59:59.999Z","2024-12-23T21:40:00.000Z","2024-12-23T14:56:00.000Z","2781",0.1857044797,0.2059237514,0.1722338147,0.2000869151,61889159.44,200079833.36,"2024-12-23T23:59:59.999Z"
"2024-12-22","2024-12-22T23:59:59.999Z","2024-12-22T12:40:00.000Z","2024-12-22T05:26:00.000Z","2781",0.1628887766,0.2122921352,0.1593182145,0.1856961387,82239026.57,185689570.86,"2024-12-22T23:59:59.999Z"
"2024-12-21","2024-12-21T23:59:59.999Z","2024-12-21T01:16:00.000Z","2024-12-21T19:40:00.000Z","2781",0.1912691119,0.1943412293,0.1574768496,0.1628887766,55880340.7,162883022.52,"2024-12-21T23:59:59.999Z"
"2024-12-20","2024-12-20T23:59:59.999Z","2024-12-20T23:43:00.000Z","2024-12-20T10:55:00.000Z","2781",0.1845105637,0.1935578544,0.1474637335,0.1912691119,108538482.67,191262379.61,"2024-12-20T23:59:59.999Z"
"2024-12-19","2024-12-19T23:59:59.999Z","2024-12-19T00:03:00.000Z","2024-12-19T18:25:00.000Z","2781",0.2235277383,0.2237305848,0.1738155001,0.1845105637,109712723.02,184504080.65,"2024-12-19T23:59:59.999Z"
"2024-12-18","2024-12-18T23:59:59.999Z","2024-12-18T10:01:00.000Z","2024-12-18T21:07:00.000Z","2781",0.2719916216,0.2830439088,0.2196796301,0.2235129707,88173885.44,223505126.83,"2024-12-18T23:59:59.999Z"
"2024-12-17","2024-12-17T23:59:59.999Z","2024-12-17T07:16:00.000Z","2024-12-17T15:06:00.000Z","2781",0.310374028,0.3187219616,0.2664043513,0.2719950863,94347688.02,271982108.76,"2024-12-17T23:59:59.999Z"
"2024-12-16","2024-12-16T23:59:59.999Z","2024-12-16T00:55:00.000Z","2024-12-16T23:38:00.000Z","2781",0.3597849771,0.3762614351,0.3082308304,0.310374028,91829279.35,310363182.24,"2024-12-16T23:59:59.999Z"
"2024-12-15","2024-12-15T23:59:59.999Z","2024-12-15T23:52:00.000Z","2024-12-15T00:42:00.000Z","2781",0.3091605389,0.3601407562,0.3029949032,0.3600828598,81475521.14,359772435.91,"2024-12-15T23:59:59.999Z"
"2024-12-14","2024-12-14T23:59:59.999Z","2024-12-14T06:40:00.000Z","2024-12-14T19:01:00.000Z","2781",0.3058250649,0.378876048,0.2976952627,0.3091605389,130423868.17,309149775.51,"2024-12-14T23:59:59.999Z"
"2024-12-13","2024-12-13T23:59:59.999Z","2024-12-13T00:29:00.000Z","2024-12-13T03:29:00.000Z","2781",0.3392770312,0.3431822365,0.2826463955,0.3058250649,170184460.11,305814424.42,"2024-12-13T23:59:59.999Z"
"2024-12-12","2024-12-12T23:59:59.999Z","2024-12-12T22:15:00.000Z","2024-12-12T22:56:00.000Z","2781",0.3597427072,0.4496424296,0.3224864289,0.3393721176,217765309.62,339360317.51,"2024-12-12T23:59:59.999Z"
"2024-12-11","2024-12-11T23:59:59.999Z","2024-12-11T16:31:00.000Z","2024-12-11T02:05:00.000Z","2781",0.3336981918,0.4030880738,0.3212515601,0.3597427072,91689770.59,359730204.53,"2024-12-11T23:59:59.999Z"
"2024-12-10","2024-12-10T23:59:59.999Z","2024-12-10T00:39:00.000Z","2024-12-10T16:13:00.000Z","2781",0.3572541416,0.3632324043,0.286978546,0.3336981918,85646080.78,333686595.15,"2024-12-10T23:59:59.999Z"
"2024-12-09","2024-12-09T23:59:59.999Z","2024-12-09T00:25:00.000Z","2024-12-09T21:07:00.000Z","2781",0.4361829124,0.4378978495,0.2872345424,0.3573782175,98013734.82,357365799.41,"2024-12-09T23:59:59.999Z"
"2024-12-08","2024-12-08T23:59:59.999Z","2024-12-08T04:15:00.000Z","2024-12-08T09:02:00.000Z","2781",0.4448739316,0.4565993205,0.4195944645,0.4361829124,59095864.62,436167762.79,"2024-12-08T23:59:59.999Z"
"2024-12-07","2024-12-07T23:59:59.999Z","2024-12-07T22:46:00.000Z","2024-12-07T05:10:00.000Z","2781",0.4173677234,0.4708706155,0.4017874214,0.4480086934,92328052.98,447636573.86,"2024-12-07T23:59:59.999Z"
"2024-12-06","2024-12-06T23:59:59.999Z","2024-12-06T01:32:00.000Z","2024-12-06T13:29:00.000Z","2781",0.4493071931,0.4685448468,0.4086236437,0.4173677234,73121425.47,417353239.42,"2024-12-06T23:59:59.999Z"
"2024-12-05","2024-12-05T23:59:59.999Z","2024-12-05T15:16:00.000Z","2024-12-05T22:32:00.000Z","2781",0.4721896096,0.4905625569,0.4257521722,0.4457372968,99682552.05,445721831.5,"2024-12-05T23:59:59.999Z"
"2024-12-04","2024-12-04T23:59:59.999Z","2024-12-04T11:26:00.000Z","2024-12-04T17:16:00.000Z","2781",0.4878935069,0.5665204359,0.4553943835,0.472185669,135763422.59,472173237.91,"2024-12-04T23:59:59.999Z"
"2024-12-03","2024-12-03T23:59:59.999Z","2024-12-03T15:22:00.000Z","2024-12-03T00:37:00.000Z","2781",0.4205738781,0.5296513325,0.4154694333,0.4878935069,188822040.54,487876591.75,"2024-12-03T23:59:59.999Z"
"2024-12-02","2024-12-02T23:59:59.999Z","2024-12-02T16:13:00.000Z","2024-12-02T06:37:00.000Z","2781",0.4467890979,0.4513646752,0.3621639872,0.4205730247,244950500.01,420559300.08,"2024-12-02T23:59:59.999Z"
"2024-12-01","2024-12-01T23:59:59.999Z","2024-12-01T19:01:00.000Z","2024-12-01T03:03:00.000Z","2781",0.4429159601,0.4845319719,0.4186602824,0.4467890979,122696930.88,446773623.09,"2024-12-01T23:59:59.999Z"
